magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
virtuous	['vɜ:tʃʊəs] ad. 有道德的，品性好的，品德高的；自命清高的；贞洁的
abode	[əˈbəud] n. 房屋，家，住所
gravity	[ˈgrævətɪ] n. 重力
litter	|
random	|
ascend	[əˈsend] v. 攀登；上升，升高
sorrow	[ˈsɔrəu] n. 悲哀；伤心事
petroleum	[pəˈtrəulɪəm] n. 石油
decipher	[dɪˈsaɪfə(r)] vt. 破译；解释
impact	[ˈɪmpækt] n. 影响，作用；冲击
truce	[truːs] n. 休战（协定）
hang	[hæŋ] v. 悬挂，吊，垂下；吊死，绞死
aptitude	[ˈæptɪtjuːd] n. 天资，天赋，天生的才能
hypothetical	[ˌhaɪpəˈθetɪkl] a. 假设的，假定的；爱猜想的
expire	[ɪkˈspaɪə(r)] v. 期满；终止
malleable	[ˈmælɪəbl] a. 可塑的；易改变的
harbour	|
heap	|
function	|
architect	[ˈɑːkɪtekt] n. 建筑师，设计师；创造者
maternal	[məˈtɜːnl] a. 母亲的；母系的
civilization	[ˏsɪvəlaɪˈzeɪʃn] n. 文明（社会），文化
flourish	|
assurance	[əˈʃʊərəns] n. 信心；保证；保险
regent	[ˈriːdʒənt] n. 摄政者（代国王统治者）
array	|
remedy	|
congested	[kənˈdʒestɪd] a. 拥挤不堪的；充塞的
shareholder	[ˈʃeəhəʊldə(r)] n. 股票持有人；股东
transcription	[trænˈskrɪpʃn] n. 抄写，誊写；抄本，誊本；书面标注的事物；（乐曲的）改编
acute	[əˈkjuːt] a. 灵敏的；剧烈的，猛烈的
debt	[det] n. 债，债务
discontinue	[ˏdɪskənˈtɪnjuː] v. 停止；中断；不连续
amplify	[ˈæmplɪfaɪ] v. 详述；放大（声音等）
onslaught	[ˈɔnslɔːt] n. 猛攻，猛袭
landward	[ˈlændwəd] a./ad. 向陆的/地，近陆的/地
invest	[ɪnˈvest] v. 投资；投入（时间、精力等）；授予，赋予
screen	|
alarm	|
tunnel	|
check-up	['tʃekʌp] n. 检查
resolve	|
mercury	[ˈmɜːkjurɪ] n. 水银
distill	[dɪs'tɪl] vt. （使）蒸馏，提取
strip	|
and-so-forth	and so forth 等等
collision	[kəˈlɪʒn] n. 碰撞；冲突，抵触
profit	|
bet	|
burst	|
navigable	[ˈnævɪgəbl] a. 可通航的；适于航行的
miracle	[ˈmɪrəkl] n. 奇迹；奇事
lawsuit	[ˈlɔ:su:t] n. 诉讼，起诉
abide	[əˈbaɪd] v. 停留，逗留；容忍，忍受
ideal	|
necessity	[nɪˈsesətɪ] n. 必然，必要；必需品；必要性
recapture	[ˏriːˈkæptʃə(r)] vt. 重获，收复
discipline	|
scamper	[ˈskæmpə(r)] vi. 奔跑，快跑
negotiate	[nɪˈgəuʃɪeɪt] v. 洽谈，协商；商定，达成；顺利通过
static	|
various	[ˈveərɪəs] a. 各种各样的；不同的；多方面的
diversion	[daɪˈvɜːʃn] n. 转向，转移，转换；转移视线的事物；娱乐
ozone-layer	__ozone__ __layer__ [ˈəuzəun ˈleiə] n.臭氧层
resident	|
monotonous	[məˈnɔtənəs] a. 单调的，无聊的
asymmetry	[ˌeɪ'sɪmətrɪ] n. 不对称
absurd	[əbˈsɜːd] a. 荒谬的，荒唐的
ascribe	[əˈskraɪb] vt. 把……归因于
seminar	[ˈsemɪnɑː(r)] n. （大学的）研究班，研讨会
pollinate	[ˈpɔləneɪt] vt.[植] 给……授粉
secondary	[ˈsekəndrɪ] a. 次要的，二级的；（教育、学校等）中等的；辅助的、从属的
tanker	[ˈtæŋkə(r)] n. 油轮；油罐车；加油飞机
ultraclean	['ʌltrəkli:n] a. 超净的，特净的
displace	[dɪsˈpleɪs] vt. 取代；迫使（人们）离开家园；撤职，使失业
supervise	[ˈsuːpəvaɪz] vt. 监督，管理；指导
deficiency	[dɪˈfɪʃnsɪ] n. 缺乏，不足
tutor	|
sedentary	[ˈsedntrɪ] a. （工作、活动等）需要久坐的；（人）惯于久坐不动的；（人或动物）定居的，不迁徙的；沉积的
vertical	|
encase	[ɪnˈkeɪs] vt. 装入，包住
faculty	[ˈfækltɪ] n. 才能；学院，系；（学院或系的）全体教学人员
arrogance	[ˈærəgəns] n. 傲慢，自大
generate	[ˈdʒenəreɪt] vt. 发生，生产（光、热、电等）；引起，导致
frock	[frɔk] n. 上衣；连衣裙
congratulate	[kənˈgrætʃuleɪt] vt. 祝贺
fertilise	[ˈfɜːtəlaɪz] vt. 使肥沃，使多产；施肥于；使受精
indigenous	[ɪnˈdɪdʒɪnəs] a. 土产的，本地的，本土的
upset	|
contact	|
ecliptic	[ɪ'klɪptɪk] n. [天] 黄道  a. 黄道的，日（或月）食的
hospitality	[ˏhɔspɪˈtælətɪ] n. （对客人的）友好款待，好客；盛情；招待礼节
fierce	[fɪəs] a. 凶猛的；强烈的
complementary	[ˌkɒmplɪˈmentri] a. 互补的；补充的，补足的
curly	['kɜ:lɪ] a. 卷曲的，波浪式的
grocery	['ɡrəʊsərɪ] n. 杂货店；食品，杂货
dull	[dʌl] a. 乏味的；阴沉的
infiltrate	[ˈɪnfɪltreɪt] v. （使）悄悄进入，潜入；渗入，渗透
astray	[əˈstreɪ] ad. 迷路地；误入歧途地
exhaustion	[ɪgˈzɔːstʃən] n. 精疲力竭；耗尽
declaration	[ˏdekləˈreɪʃn] n. 宣布；宣言，声明（书）
maturity	[mə'tʃʊərətɪ] n. 成熟；完善，完备，准备就绪；到期（应付款）
currently	[ˈkʌrəntli] ad. 当前，现时，目前
delivery	[dɪˈlɪvərɪ] n. 投递，交付；分娩
poverty	[ˈpɔvətɪ] n. 贫穷
vertebrate	|
materialistic	[məˌtɪəriəˈlɪstɪk] a. 唯物主义的；物质享乐主义的，贪图享乐的
distinguish	[dɪˈstɪŋgwɪʃ] v. 区别，辨别；辨认出；使杰出
disposable	[dɪˈspəuzəbl] a. 一次性的；可动用的
observe	[əbˈzɜːv] v. 察觉；观察；遵守
influential	__influencial__ [ˏɪnfluˈenʃl] a. 有影响力的；有权势的
reveal	[rɪˈviːl] vt. 揭露；泄露；展现
intake	[ˈɪnteɪk] n. 吸入，纳入；进气口，入口
consist	[kənˈsɪst] vi. 由……组成，由……构成；在于，存在于
waterfront	[ˈwɔ:təfrʌnt] n. 滨水路，滨水区，码头区
thigh	[θaɪ] n. 大腿
portion	|
reasonable	[ˈriːznəbl] a. 合理的，有道理的；通情达理的；适度的
medical	[ˈmedɪkl] a. 医学的，医疗的；内科的
accompany	[əˈkʌmpənɪ] vt. 陪伴；伴随，与……同时发生；伴奏
pledge	|
interview	[ˈɪntəvjuː] v./n. 接见，会见；采访；面试
popularity	[ˏpɔpjuˈlærətɪ] n. 普及，流行
allege	[əˈledʒ] vt. 断言，宣称
camel	[ˈkæml] n. 骆驼
delinquent	|
premier	|
conception	[kənˈsepʃn] n. 观念；概念
interact	[ˏɪntərˈækt] vt. 相互作用；相互影响
craft	[krɑːft] n. 工艺，手艺；船；航空器
reward	|
chronic	[ˈkrɔnɪk] a. （疾病）慢性的；积习难改的
easy-going	[ˈiːziˏgəuɪŋ] a. 脾气随和的，心平气和的；随便的
marginally	[ˈmɑ:dʒɪnəli] ad. 稍微，些微
exaggerate	[ɪgˈzædʒəreɪt] v. 夸大，夸张
household	|
champion	[ˈtʃæmpɪən] n. 冠军
layout	[ˈleɪaʊt] n. 布局，安排，设计
slim	[slɪm] a. 苗条的；薄的  vi. 变苗条
boulder	[ˈbəuldə(r)] n. 大石头；鹅卵石
disqualify	[dɪsˈkwɔlɪfaɪ] vt. 使丧失资格
celestial	[səˈlestiəl] a. 天体的，天上的
donation	[dəʊˈneɪʃn] n. 捐款；捐赠
wagon	[ˈwægən] n. 四轮马车；大篷车
inferior	|
corporal	|
crank	|
methane	[ˈmiːθeɪn] n. 甲烷，沼气
possess	[pəˈzes] vt. 具有；拥有
newsletter	['njuːzletə] n. 时事通讯，业务通讯
bother	|
limp	[lɪmp] a. 软的；无力的
broom	[bruːm] n. 扫帚
belt	[belt] n. 腰带；地带
bud	|
admission	[ədˈmɪʃn] n. 允许进入，加入权，进入权；招供，招认；入场券
explorer	[ɪkˈsplɔ:rə(r)] n. 勘探者，探险者
instruct	__instuct__ [ɪnˈstrʌkt] vt. 教导；指示，命令
barbaric	[bɑːˈbærɪk] a. 野蛮的，粗鲁的；残暴的，残忍的；原始部落的
inform	[ɪnˈfɔːm] v. 通知；向……报告
tube	[tjuːb] n. 管道，试管；<英> 地铁
bold	[bəuld] a. 粗（字）体的；大胆的，鲁莽的，勇敢的；醒目的
retailer	[ˈri:teɪlə(r)] n. 零售商人；复述者，传播者
acknowledge	[əkˈnɔlɪdʒ] v. 承认，确认；致意；感谢
droplet	[ˈdrɒplət] n. 小滴
abuse	|
hypnotic	|
predominate	[prɪˈdɔmɪneɪt] vi. 统治，支配；（数量、力量上）占优势
gang	|
irony	[ˈaɪərənɪ] n. 反话，讽刺；出人意料的事情
rank	|
computerize	__computarize__ [kəm'pju:təraɪz] vt. 使计算机化；用计算机做；用计算机储存（信息）
directory	[dəˈrektəri] n. 人名地址录；（电话）号码簿
affect	[əˈfekt] v. 影响；感染
pearl	[pɜːl] n. 珍珠
exhaustive	[ɪgˈzɔːstɪv] a. 包揽无遗的，彻底的，详尽的
sledge	[sledʒ] n. 雪橇  vi. 乘雪橇
underlying	[ˌʌndəˈlaɪɪŋ] a. 表面下的，下层的，在下面的；根本的；潜在的，隐含的
undertake	[ˏʌndəˈteɪk] v. 承担（某事物），负起（某事物的）责任；同意或答应做某事
dramatic	[drəˈmætɪk] a. 引人注目的；戏剧性的；激动人心的；戏剧的
eccentric	|
censure	[ˈsenʃə(r)] vt./n. 指责，谴责，责难
dormant	[ˈdɔːmənt] a. 休眠的；静止的；隐匿的
irrelevant	[ɪˈreləvənt] a. 不相关的；离题的
toxin	[ˈtɔksɪn] n. 毒素，毒质
fingerprint	['fɪŋɡəprɪnt] n. 指纹，手印
specific	[spəˈsɪfɪk] a. 特定的；明确的
blonde	|
spasm	[ˋspæzəm] n. 痉挛；抽搐；（活动、情感等的）突发、阵发
allowance	[əˈlauəns] n. 津贴；允许，容忍
hurl	[hɜːl] vt. 猛投，猛摔；大声叫骂
immediately	[ɪˈmi:diətli] ad. 立即，马上；紧接地；直接地
identify	__identity__ [aɪˈdentɪfaɪ] v. 认出，识别；辨别；查明；确定；视……（与……）为同一事物
thereby	[ˏðeəˈbaɪ] ad. 因此，从而
prowess	[ˈprauɪs] n. 杰出的才能，高超的技艺，专长，造诣
vitality	[vaɪˈtælətɪ] n. 生命力，活力
divert	[daɪˈvɜːt] vt. 使绕道，转移；娱乐，供消遣
censor	|
attract	[əˈtrækt] vt. 吸引，招引，引诱，引起（注意等）
personnel	[ˏpɜːsəˈnel] n. 全体人员，员工
extracurricular	[ˌekstrəkə'rɪkjʊlə] a. 课外的
attention	[əˈtenʃn] n. 注意（力），留心；立正
decline	[dɪˈklaɪn] n./v. 下降，减少；衰退，衰落
photography	[fəˈtɒgrəfi] n. 摄影术，摄影
instinctual	[ɪn'stɪŋktʃʊəl] a. 本能的
dash	|
occasionally	[əˈkeɪʒnəli] ad. 有时候，偶尔
verbal	[ˈvɜːbl] a. 口头的；言辞的，文字的，词语的；动词的
deploy	[dɪˈplɔɪ] vt. 部署；使用，运用
medication	[ˌmedɪˈkeɪʃn] n. 药；药物
responsibility	__responsiblity__ [rɪˏspɔnsəˈbɪlətɪ] n. 责任，责任心；职责，任务
prescription	[prɪˈskrɪpʃn] n. 处方，药方；开处方，开药方
colony	[ˈkɔlənɪ] n. 殖民地；（动植物的）群体
synthesis	[ˈsɪnθəsɪs] n. 综合，合成；综合体
brittle	[ˈbrɪtl] a. 易碎的，易损坏的；靠不住的；冷淡的，不友好的；（声音）尖利的
climatic	[klaɪˈmætɪk] a. 气候（上）的
restriction	[rɪ'strɪkʃn] n. 限制，约束
astronaut	[ˈæstrənɔːt] n. 宇航员
average	|
mechanism	[ˈmekənɪzəm] n. 机械装置；机制，机理；办法
plausible	[ˈplɔːzəbl] a. 似有道理的，貌似真实的；嘴巧的
approach	|
predominant	[prɪˈdɔmɪnənt] a. 卓越的，突出的；支配的，主要的，盛行的
equip	[ɪˈkwɪp] vt. 装备，配备；使有能力，使有准备
erode	[ɪˈrəud] v. 侵蚀，腐蚀；削弱，损害
transcript	['trænskrɪpt] n. 抄本，副本；文字记录
capsule	[ˈkæpsjuːl] n. 胶囊；航天舱，太空舱
friction	[ˈfrɪkʃn] n. 摩擦（力）；矛盾，冲突
infirmity	[ɪn'fɜ:mətɪ] n. 虚弱，衰弱
scandal	[ˈskændl] n. 丑事，丑闻；恶意诽谤；流言飞语；反感，愤慨
transform	[trænsˈfɔːm] v. 使改观，改革，改善；变换，把……转换成
mansion	[ˋmænʃən] n. 大厦；（豪华的）宅邸
invert	[ɪnˈvɜːt] vt. （使）倒转，（使）颠倒
upgrade	|
material	[məˈtɪərɪəl] n. 材料；素材  a. 物质的；重要的
discourteous	[dɪsˈkɜːtɪəs] a. 无礼的，粗鲁的
processor	[ˈprəʊsesə(r)] n. 加工机；加工工人；处理器
advanced	[ədˈvɑ:nst] a. 先进的
hectare	[ˈhekteə(r)] n. 公顷
appraisal	[əˈpreɪzl] n. 评估，评价
homesick	[ˈhəʊmsɪk] a. 想家的，思乡的
rectangular	[rek'tæŋɡjələ(r)] a. 长方形的，矩形的
commentary	[ˈkɔməntrɪ] n. （尤指电台或电视台所作的）实况报道，现场解说；注释，解释；批评；评价
beehive	[ˈbi:haɪv] n. 蜂窝；蜂箱
ventilation	[ˌventɪ'leɪʃn] n. 空气流通；通风设备，通风方法
alchemist	[ˈælkəmɪst] n. 炼金术士
approval	[əˈpruːvl] n. 赞成，同意；正式批准
furnish	[ˈfɜːnɪʃ] vt. 布置，为……配置家具；供应，提供；装备
tram	|
avenge	[əˈvendʒ] vt. 报仇，复仇，向（某人）报仇
frightened	[ˈfraɪtnd] a. 受惊的；受恐吓的
qualitative	[ˈkwɔlɪtətɪv] a. 性质的，质量的；定性的
replenish	[rɪˈplenɪʃ] vt. 再斟（或装）满；添加，补充
vacant	[ˈveɪkənt] a. 未占用的，空的
high-tech	[haɪ tek] n. 高科技
critic	[ˈkrɪtɪk] n. 批评家；爱挑剔的人
integral	[ˈɪntɪgrəl] a. 不可或缺的，构成整体所必需的；完整的，完备的
curtain	[ˈkɜːtn] n. 窗帘，门帘
subject	|
productive	[prəˈdʌktɪv] a. 生产性的；多产的；富有成效的
foundation	[faunˈdeɪʃn] n. 基础；地基；创立
recourse	[rɪˈkɔːs] n. 依靠；求助，求援
environment	[ɪnˈvaɪərənmənt] n. 周围状况；环境
graphic	[ˈgræfɪk] a. 文学的；生动的，形象的；绘画的，图表的
incendiary	[ɪnˈsendɪərɪ] a. 放火的，能引起燃烧的；煽动性的
detail	|
solicitor	[səˈlɪsɪtə(r)] n. （城镇的）法务官；初级律师，事务律师
visa	[ˈviːzə] n. 签证
chip	|
suspect	[səˈspekt] v. 猜想，怀疑
loyalty	[ˈlɔɪəlt] n. 忠诚，忠心
blank	[blæŋk] a. 空白的
severe	[sɪˈvɪə(r)] a. 严重的；严厉的；剧烈的
stereoscopic	[ˌsteriəˈskɒpɪk] a. 有立体视觉的；有立体效果的
deflect	[dɪˈflekt] v. （使）偏斜，（使）转向
ambiguity	[ˏæmbɪˈgjuːətɪ] n. 模棱两可；不明确
hire	[ˈhaɪə(r)] v./n. 租用；雇用
sack	|
autoimmune	[ˌɔ:təʊɪˈmju:n] a. 自身免疫的
major	|
define	[dɪˈfaɪn] vt. 下定义；限定
complete	|
fiction	[ˈfɪkʃn] n. 小说
jungle	[ˈdʒʌŋgl] n. 丛林
halt	|
mission	[ˈmɪʃn] n. 使命，任务；代表团，使团；传教，布道
megacity	['megəˌsɪtɪ] n. （人口超过1000万的）大城市
impart	[ɪmˈpɑːt] vt. 给予，赋予；传授；告知，透露
badminton	[ˈbædmɪntən] n. 羽毛球
habitat	[ˈhæbɪtæt] n. 栖息地，住处
enhance	__inhance__ [ɪnˈhɑːns] vt. 提高，增强；增进
scour	[ˈskauə(r)] vt. 四处搜寻，细查；擦洗，擦亮；冲刷出，冲刷成
enquiry	[ɪn'kwaɪərɪ] n. 询问；调查；探索
spouse	[spauz] n. 配偶
evaluate	[ɪˈvæljueɪt] vt. 评价，估价
subsoil	[ˈsʌbsɔɪl] n. 底土，下层土
candidate	[ˈkændɪdət] n. 候选人，候补者；申请求职者；报考者
award	|
internationalist	|
geological	[ˌdʒi:ə'lɒdʒɪkl] a. 地质的，地质学的
license	|
trigger	|
vacancy	[ˈveɪkənsɪ] n. 空位，空房间；（职位的）空缺，空职；无主意，空虚，茫然若失
dwell	[dwel] vi. 居住；栖身
viewpoint	[ˈvjuːpɔɪnt] n. 观点，看法
bilateral	[ˏbaɪˈlætərəl] a. 双边的；双方的
intersection	[‚ɪntə(r)'sekʃn] n. 道路交叉口，十字路口
ancient	[ˈeɪnʃənt] a. 古老的；年老的
loop	|
acceptable	[əkˈseptəbl] a. 可接受的
crater	[ˈkreɪtə(r)] n. 火山口；坑
monster	[ˈmɔnstə(r)] n. 怪物；巨人，庞然大物
section	[ˈsekʃn] n. 部分；部门；截面
preliminary	|
implement	|
sustain	[səˈsteɪn] v. 支撑，撑住，承受住；维持，保持；经受，遭受，忍耐
preparation	[ˏprepəˈreɪʃn] n. 准备（工作），预备；制剂
reunite	[ˏriːjuːˈnaɪt] v. （使）结合；（使）重聚
decisive	[dɪˈsaɪsɪv] a. 决定性的；果断的
bullet	[ˈbulɪt] n. 枪弹，子弹
resume	[rɪˈzjuːm] v. （中断后）重新开始，继续恢复
cavort	[kəˈvɔːt] v. 欢跃，跳跃；嬉戏
handle	|
melatonin	[ˌmelə'təʊnɪn] n. 褪黑激素
antique	|
molten	[ˈməultən] a. 熔化的
quantity	[ˈkwɔntətɪ] n. 数量，数目；量；众多，大宗
rig	|
discredit	[dɪsˈkredɪt] vt. 使怀疑；使丧失信誉，使丢脸
horizontal	[ˏhɔrɪˈzɔntl] a. 地平线的，水平的
forfeit	|
scrutiny	[ˈskruːtɪnɪ] n. 详细检查，细看；监视
alternate	|
at-least	at least 至少
parallel	|
splash	[splæʃ] v. 溅；泼
thoughtful	[ˈθɔ:tfl] a. 沉思的；体贴的
renaissance	__renainssance__ [rɪˈneɪsns] n. [the R-] （欧洲14至16世纪的）文艺复兴，文艺复兴时期；（文学、艺术等的）复兴、新生
commonwealth	[ˈkɔmənwelθ] n. [the C-] 英联邦；联合体
stab	[stæb] v. 刺，戳
unemployment	[ˏʌnɪmˈplɔɪmənt] n. 失业；失业人数
scope	[skəup] n. 眼界，见识；（活动、影响等的）范围；（发挥能力等的）余地，机会
commission	|
hazardous	['hæzədəs] a. 危险的，冒险的；有害的
concentrate	|
evaluation	[ɪˌvæljʊ'eɪʃn] n. 估价，评价
telegraph	|
cascade	[kæˈskeɪd] n. 小瀑布
hemisphere	[ˈhemɪsfɪə(r)] n. （地球的）半球；大脑半球
snack	[snæk] n. 快餐，小吃；点心
triple	|
outsell	[ˏautˈsel] vt. 卖得比……多
tend	[tend] v. 倾向于，趋于；照料；招待
derive	[dɪˈraɪv] v. 取得；起源
predatory	[ˈpredətrɪ] a. 食肉的；掠夺的
scout	|
nominal	[ˈnɔmɪnl] a. 名义上的；（金额、租金等）微不足道的
attempt	[əˈtempt] n./v. 尝试，试图；努力
service	|
scale	|
consensus	[kənˈsensəs] n. 共识；（意见）一致
continent	[ˈkɔntɪnənt] n. 大陆，陆地；洲
deem	[diːm] vt. 认为
dividend	[ˈdɪvɪdend] n. 红利，股息；回报，效益；被除数
pore-over	pore over [pɔːˈəuvə] 仔细阅读
enigma	[ɪˈnɪgmə] n. 迷，迷一样的人或事
penalize	[ˈpiːnəlaɪz] vt. 惩罚，处罚；判罚；使处于不利地位
obstacle	[ˈɔbstəkl] n. 障碍，妨碍物，干扰
turnover	[ˈtɜ:nəʊvə(r)] n. 营业额；人事变动率；货物周转率
loath	[ləuθ] a. 不情愿的，勉强的
earthwork	[ˈə:θwə:k] n. 土方（工程）
illusion	[ɪˈluːʒn] n. 幻想中的事物，错误的观念；错觉，幻觉，假象
populace	[ˈpɔpjuləs] n. （一个国家或地区的）人口，全体居民；平民，大众
pine	|
dietary	['daɪətərɪ] a. 饮食的
destination	[ˏdestɪˈneɪʃn] n. 目的地，终点；目标
pretentious	[prɪˈtenʃəs] a. 自命不凡的，自负的；炫耀的；做作的
induce	[ɪnˈdjuːs] vt. 引诱，劝使；引起，导致；感应
withdraw	[wɪðˈdrɔː] v. 收回；撤退；缩回，退出；提取（钱）
presence	[ˈprezns] n. 出席；存在；仪态
hurricane	[ˈhʌrɪkən] n. 飓风
ridiculous	[rɪˈdɪkjuləs] a. 荒谬的；可笑的
boot	[buːt] n. （长筒）靴子；（汽车后部的）行李箱；[the ~] 解雇
accreditation	[əˌkredɪˈteɪʃn] n. 证明合格，鉴定合格
optimistic	[ˌɒptɪˈmɪstɪk] a. 乐观的，乐观主义的
symphony	[ˈsɪmfənɪ] n. 交响乐
annual	|
adjust	[əˈdʒʌst] v. 校准；调节；使……适应
spray	|
personalize	[ˈpɜːsənəlaɪz] vt. 使成为私人的；在（物品）上标出主人姓名（或记号）；个人化
metaphorical	[ˌmetəˈfɒrɪkl] a. 隐喻的
conflict	|
fragile	[ˈfrædʒaɪl] a. 脆弱的；虚弱的；易碎的；易受伤害的
hybrid	|
assemble	__assenble__ [əˈsembl] v. 集合；装配
subordinate	|
plastic	[ˈplæstɪk] a. 塑料（制）的
contemplate	[ˈkɔntempleɪt] v. 思量，深思；注视，凝视；打算，预期
deterioration	[dɪˌtɪərɪə'reɪʃn] n. 恶化；堕落
invasive	[ɪnˈveɪsɪv] a. 侵略的，入侵的；（疾病等）侵袭的，扩散的；切入的，开刀的
